"Date","HI"
2012-01-01,9.71227557469542
2012-01-02,5.40251180953911
2012-01-03,5.68674806242221
2012-01-04,5.03315940771464
2012-01-05,7.0304534652672
2012-01-06,3.33654088769371
2012-01-07,4.59458562669885
2012-01-08,5.15528732547011
2012-01-09,4.52432449898764
2012-01-10,3.87027392394476
2012-01-11,2.60418679375201
2012-01-12,0.476195690836394
2012-01-13,1.08627646610109
2012-01-14,-2.50394358876939
2012-01-15,-4.29809019126922
2012-01-16,-3.53790780773046
2012-01-17,-4.21297394754526
2012-01-18,-0.933871375330876
2012-01-19,5.33325637433964
2012-01-20,6.01004050218546
2012-01-21,7.53255101580926
2012-01-22,6.98343130820661
2012-01-23,5.05381308724911
2012-01-24,4.20303368558481
2012-01-25,5.06784312870722
2012-01-26,3.86170197112179
2012-01-27,1.44443264642595
2012-01-28,-0.29862142684145
2012-01-29,-2.55436938760736
2012-01-30,-3.69765696123264
2012-01-31,-5.07821769679793
2012-02-01,-8.27869195144497
2012-02-02,-11.3749322177884
2012-02-03,-13.3417893608632
2012-02-04,-12.922237582919
2012-02-05,-12.1346330816821
2012-02-06,-10.9281676155165
2012-02-07,-13.0778546189785
2012-02-08,-13.7106626640433
2012-02-09,-12.0382939791504
2012-02-10,-10.8702284501582
2012-02-11,-14.0128923747489
2012-02-12,-12.830164140559
2012-02-13,-6.14361892947417
2012-02-14,-1.72443413749245
2012-02-15,0.958916423366582
2012-02-16,2.29344235461572
2012-02-17,2.43413246358457
2012-02-18,2.22533945082875
2012-02-19,0.905912964267379
2012-02-20,-2.47934605032391
2012-02-21,-2.08727898494447
2012-02-22,-0.74931599189955
2012-02-23,3.93637517646641
2012-02-24,6.43904762940655
2012-02-25,6.09707565373178
2012-02-26,5.18212385686481
2012-02-27,2.69061948470326
2012-02-28,4.26442390790249
2012-02-29,5.76971901864197
2012-03-01,6.28086601792222
2012-03-02,6.68327083137155
2012-03-03,6.56060486629435
2012-03-04,5.76411905350969
2012-03-05,1.67097398256166
2012-03-06,0.715828908723441
2012-03-07,1.18614731335513
2012-03-08,3.02405604449091
2012-03-09,3.09370497606938
2012-03-10,5.1352753807857
2012-03-11,7.15642512495593
2012-03-12,7.91495334025738
2012-03-13,8.12671084263607
2012-03-14,7.95291651377626
2012-03-15,8.63601473373753
2012-03-16,8.81312036221572
2012-03-17,7.6077993296964
2012-03-18,4.80274702068723
2012-03-19,3.72481987199475
2012-03-20,3.58138967900261
2012-03-21,7.19974855808805
2012-03-22,9.97436683809737
2012-03-23,9.85966722116416
2012-03-24,11.4143856887506
2012-03-25,11.4945303747662
2012-03-26,12.3405417573759
2012-03-27,12.0455788104713
2012-03-28,11.7654665429894
2012-03-29,11.8181257094828
2012-03-30,11.0514949068077
2012-03-31,9.20913696237145
2012-04-01,7.29936299232467
2012-04-02,7.49049329900441
2012-04-03,7.43425638739144
2012-04-04,6.31389378606541
2012-04-05,7.54118931594456
2012-04-06,7.73106419187376
2012-04-07,6.7110213742478
2012-04-08,6.19705069019856
2012-04-09,7.781037963725
2012-04-10,7.22762329077185
2012-04-11,5.90642621752602
2012-04-12,6.08815221004078
2012-04-13,5.42182261651865
2012-04-14,5.53555808886091
2012-04-15,4.81214001830253
2012-04-16,3.34836599786034
2012-04-17,4.16102573788691
2012-04-18,5.96050791085773
2012-04-19,6.02830253885398
2012-04-20,6.16923603988244
2012-04-21,7.163170284188
2012-04-22,6.48906203515339
2012-04-23,6.01232079600471
2012-04-24,6.73123168130631
2012-04-25,8.05478211572081
2012-04-26,10.0386038098026
2012-04-27,10.3955989804086
2012-04-28,11.9829174698401
2012-04-29,10.8004392345344
2012-04-30,9.42103723763905
2012-05-01,10.0940216940786
2012-05-02,10.4712793271207
2012-05-03,11.6233398822261
2012-05-04,11.2311189245966
2012-05-05,10.1853852324348
2012-05-06,9.8070107142481
2012-05-07,10.9764965250985
2012-05-08,12.8346200157564
2012-05-09,15.5822670401451
2012-05-10,18.1067460062597
2012-05-11,16.8535696641489
2012-05-12,13.1991557151134
2012-05-13,10.995285830081
2012-05-14,10.8983762054669
2012-05-15,8.62555035388818
2012-05-16,8.20827461562763
2012-05-17,10.1825299241887
2012-05-18,11.8928344322884
2012-05-19,12.1581840683684
2012-05-20,11.3549179612615
2012-05-21,9.87686601214821
2012-05-22,12.2078949045525
2012-05-23,15.2003824738626
2012-05-24,18.5183452738605
2012-05-25,20.4052856652297
2012-05-26,17.8038734801538
2012-05-27,16.9841570867351
2012-05-28,17.5202805810536
2012-05-29,18.2654256474121
2012-05-30,17.7631444029697
2012-05-31,17.1839783719894
2012-06-01,18.1856699638705
2012-06-02,19.1721448185851
2012-06-03,15.9104420896432
2012-06-04,14.0899017554836
2012-06-05,13.8922411882621
2012-06-06,15.8139619351492
2012-06-07,16.9592520950742
2012-06-08,15.4198549032405
2012-06-09,13.4528990488151
2012-06-10,13.9804047126679
2012-06-11,14.0230937730842
2012-06-12,13.0046378032262
2012-06-13,12.8009314428242
2012-06-14,14.9226869717041
2012-06-15,16.8902678479916
2012-06-16,16.7327832334279
2012-06-17,16.9412840164506
2012-06-18,17.0426368408282
2012-06-19,16.8386457725312
2012-06-20,19.0939939115042
2012-06-21,18.2735789370664
2012-06-22,16.3133156828123
2012-06-23,16.5136559965388
2012-06-24,16.9557744672946
2012-06-25,18.192364325998
2012-06-26,19.9075588058542
2012-06-27,22.3582298492136
2012-06-28,22.4055582714545
2012-06-29,19.5272445474783
2012-06-30,18.8969410743854
2012-07-01,15.6779348072657
2012-07-02,16.1543917294329
